Operation_Type,Workpiece_Material,Material_Hardness_HB,Tool_Diameter_mm,Number_of_Flutes,Tool_Coating,Tool_Wear_VB_mm,Rake_Angle_deg,Cutting_Speed_vc_mpm,Spindle_Speed_RPM,Feed_Rate_mm_rev,Axial_Depth_ap_mm,Radial_Depth_ae_mm,Feed_Speed_vf_mmpm,Coolant_Condition,Coolant_Flow_Rate_Lpm,Material_Removal_Rate_cm3_min,Cutting_Temperature_C,Cutting_Force_Fc_N,Spindle_Power_kW,Feed_Power_kW,Auxiliary_Power_kW,Cutting_Power_kW,Power_Consumption_kW,Specific_Energy_J_mm3,Carbon_Emission_Rate_kgCO2e_hr,Specific_Carbon_Emission_gCO2e_cm3
CNC Turning,AISI 1045 Steel,214.5,39.07,1,AlCrN,0.035,-1.4,263.25,2144.6,0.2104,1.4,0.21,451.3,Flood Coolant,25.37,77.332,144.6,704.66,1.268,0.222,1.85,3.703,6.884,5.34,3.7754,0.814
CNC Milling,AISI 304 Stainless Steel,198.3,6.0,3,TiCN,0.307,8.9,127.95,6787.9,0.0722,1.31,3.88,1470.1,Flood Coolant,19.54,7.481,191.4,335.22,4.237,0.385,1.85,0.854,8.112,65.06,4.4175,9.841
CNC Turning,AISI 1045 Steel,212.4,34.22,1,TiAlN,0.051,8.7,104.95,976.3,0.3318,0.84,0.33,323.9,Flood Coolant,17.71,29.123,123.4,578.44,0.779,0.202,1.85,1.176,4.038,8.32,2.4261,1.388
CNC Milling,AISI 304 Stainless Steel,196.0,6.0,3,AlCrN,0.015,2.0,195.89,10392.5,0.1047,1.71,2.78,3265.3,Flood Coolant,33.01,15.571,111.2,176.76,7.672,0.672,1.85,0.694,10.0,38.53,5.2522,5.622
CNC Turning,Inconel 718 Superalloy,420.2,31.62,1,TiCN,0.166,-5.7,74.48,749.7,0.2586,1.01,0.26,193.9,MQL (Min Lubrication),0.22,19.463,379.8,1859.01,0.696,0.181,0.85,2.597,4.465,13.77,2.2825,1.955
CNC Milling,Al 6061-T6 Aluminum,97.5,25.0,4,TiAlN,0.013,8.7,435.33,5542.8,0.0531,1.97,6.03,1177.0,Flood Coolant,33.02,14.02,52.4,45.0,3.28,0.338,1.85,0.388,6.587,28.19,3.6305,4.316
CNC Milling,Inconel 718 Superalloy,375.9,32.0,4,TiCN,0.45,0.6,81.83,814.0,0.1031,0.51,23.86,335.6,Flood Coolant,23.93,4.068,302.6,590.35,0.719,0.204,1.85,0.933,3.621,53.42,2.3198,9.505
CNC Milling,Al 6061-T6 Aluminum,100.9,12.0,3,TiAlN,0.04,4.1,338.02,8966.3,0.1912,0.94,5.97,5144.2,MQL (Min Lubrication),0.14,28.929,83.5,80.0,6.195,0.973,0.85,0.531,8.287,17.19,4.0725,2.346
CNC Turning,AISI 304 Stainless Steel,181.6,81.27,1,Uncoated Carbide,0.187,8.7,162.67,637.1,0.1974,1.22,0.2,125.8,MQL (Min Lubrication),0.16,39.215,339.7,1147.35,0.657,0.17,0.85,3.726,5.248,8.03,2.659,1.13
CNC Turning,Al 6061-T6 Aluminum,100.4,89.77,1,AlCrN,0.007,6.2,292.95,1038.7,0.3133,3.28,0.31,325.4,Flood Coolant,25.29,301.329,94.8,816.28,0.803,0.202,1.85,4.619,7.59,1.51,4.106,0.227
CNC Turning,Inconel 718 Superalloy,420.3,80.8,1,Uncoated Carbide,0.238,-4.8,90.07,354.8,0.3125,0.92,0.31,110.9,Flood Coolant,28.8,25.775,403.7,2672.76,0.561,0.168,1.85,4.551,7.191,16.74,3.9639,2.563
CNC Milling,Inconel 718 Superalloy,390.8,6.0,3,TiAlN,0.139,5.4,58.88,3123.8,0.1371,0.56,1.1,1284.9,MQL (Min Lubrication),0.15,0.786,110.6,45.0,1.758,0.356,0.85,0.053,2.886,220.29,1.5266,32.37
CNC Milling,Ti-6Al-4V Titanium,332.6,20.0,4,TiCN,0.343,5.9,60.29,959.6,0.1676,3.04,1.46,643.4,Flood Coolant,32.2,2.862,155.6,132.26,0.773,0.253,1.85,0.154,2.959,62.03,1.9784,11.52
CNC Turning,AISI 1045 Steel,204.8,24.05,1,AlCrN,0.04,-3.1,139.6,1847.8,0.097,2.68,0.1,179.2,Flood Coolant,25.77,36.234,109.2,768.28,1.134,0.179,1.85,2.016,5.052,8.37,2.906,1.337
CNC Turning,AISI 1045 Steel,225.5,23.97,1,Uncoated Carbide,0.386,-2.5,236.75,3143.7,0.1018,3.41,0.1,320.2,Dry,0.0,82.34,722.9,3903.78,1.769,0.201,0.5,17.403,20.299,14.79,9.7756,1.979
CNC Milling,AISI 1045 Steel,188.9,6.0,2,TiAlN,0.064,6.6,251.1,13321.1,0.1427,1.96,1.26,3802.2,Cryogenic (LN2),4.65,9.344,60.6,52.81,11.19,0.758,1.35,0.25,13.785,88.52,7.2586,12.947
CNC Milling,Inconel 718 Superalloy,424.6,12.0,5,TiCN,0.044,-1.2,74.04,1963.9,0.2043,1.17,10.01,2006.5,Dry,0.0,23.561,305.9,1727.0,1.186,0.471,0.5,2.413,4.666,11.88,2.273,1.608
CNC Milling,AISI 304 Stainless Steel,186.8,12.0,4,TiCN,0.302,6.7,169.55,4497.6,0.0527,2.91,9.97,947.7,Flood Coolant,18.28,27.53,248.3,1098.29,2.568,0.302,1.85,3.551,8.2,17.87,4.4581,2.699
CNC Milling,Al 6061-T6 Aluminum,100.1,6.0,2,AlCrN,0.055,5.3,444.12,18000.0,0.1319,1.32,3.91,4750.0,Flood Coolant,32.06,24.462,68.0,74.96,18.162,0.91,1.85,0.626,19.973,48.99,9.9961,6.811
CNC Turning,AISI 304 Stainless Steel,207.9,67.98,1,Uncoated Carbide,0.089,2.5,199.99,936.4,0.3332,0.63,0.33,312.0,MQL (Min Lubrication),0.09,41.711,280.7,774.93,0.764,0.2,0.85,3.046,4.908,7.06,2.4768,0.99
CNC Milling,Ti-6Al-4V Titanium,329.1,6.0,2,TiCN,0.16,-4.9,56.5,2997.2,0.113,0.86,1.3,677.6,Flood Coolant,24.82,0.759,64.4,47.26,1.691,0.258,1.85,0.051,3.982,314.73,2.4219,53.173
CNC Turning,AISI 1045 Steel,201.1,21.32,1,Uncoated Carbide,0.078,1.3,138.29,2064.2,0.2295,2.44,0.23,473.7,MQL (Min Lubrication),0.25,77.524,230.4,1840.32,1.231,0.226,0.85,4.83,7.388,5.72,3.6524,0.785
CNC Milling,AISI 1045 Steel,208.0,32.0,4,TiCN,0.052,-5.8,245.01,2437.1,0.2152,4.11,2.47,2098.4,MQL (Min Lubrication),0.13,21.331,137.3,97.64,1.407,0.486,0.85,0.476,3.217,9.05,1.6664,1.302
CNC Milling,AISI 304 Stainless Steel,200.9,10.0,4,Uncoated Carbide,0.149,4.3,170.84,5438.0,0.2013,2.77,3.3,4379.6,Flood Coolant,16.28,39.977,212.5,716.0,3.205,0.851,1.85,2.411,8.175,12.27,4.4109,1.839
CNC Turning,Ti-6Al-4V Titanium,341.1,98.81,1,AlCrN,0.067,4.4,142.63,459.5,0.0827,3.57,0.08,38.0,MQL (Min Lubrication),0.07,42.109,252.5,1343.23,0.596,0.156,0.85,3.667,5.594,7.97,2.7982,1.108
CNC Turning,AISI 1045 Steel,223.8,79.84,1,Uncoated Carbide,0.191,7.2,106.28,423.7,0.1889,1.08,0.19,80.0,Dry,0.0,21.756,269.4,1104.54,0.584,0.163,0.5,2.257,3.428,9.45,1.7153,1.314
CNC Milling,Al 6061-T6 Aluminum,100.2,10.0,4,TiCN,0.056,-1.5,292.37,9306.4,0.0561,0.98,4.3,2089.1,Cryogenic (LN2),2.1,8.802,45.0,45.0,6.533,0.484,1.35,0.249,8.715,59.41,4.8488,9.182
CNC Turning,AISI 304 Stainless Steel,207.6,46.71,1,TiAlN,0.119,-0.7,132.34,901.8,0.1968,1.98,0.2,177.4,MQL (Min Lubrication),0.17,51.511,282.9,1624.36,0.751,0.178,0.85,4.275,6.103,7.11,3.0502,0.987
CNC Milling,Al 6061-T6 Aluminum,95.5,25.0,5,TiCN,0.014,1.3,430.36,5479.5,0.2125,4.29,16.69,5820.8,Cryogenic (LN2),5.78,417.143,69.0,812.97,3.235,1.081,1.35,6.953,11.844,1.7,6.3278,0.253
CNC Turning,AISI 1045 Steel,198.9,55.84,1,TiCN,0.323,2.8,132.72,756.5,0.1476,2.1,0.15,111.7,MQL (Min Lubrication),0.23,41.144,354.4,1748.04,0.699,0.168,0.85,4.532,5.927,8.64,3.0132,1.221
CNC Milling,Ti-6Al-4V Titanium,332.1,12.0,5,TiAlN,0.028,-5.1,116.31,3085.3,0.2121,1.21,5.27,3271.5,MQL (Min Lubrication),0.2,20.83,198.3,527.88,1.737,0.673,0.85,1.218,4.609,13.28,2.3233,1.859
CNC Turning,AISI 1045 Steel,207.9,96.75,1,TiAlN,0.169,9.3,235.16,773.7,0.1683,3.7,0.17,130.2,Flood Coolant,27.38,146.321,258.2,2151.97,0.705,0.171,1.85,9.577,12.812,5.25,6.618,0.754
CNC Milling,Al 6061-T6 Aluminum,99.7,12.0,4,Uncoated Carbide,0.079,-2.8,309.04,8197.6,0.1506,1.48,2.23,4939.7,Flood Coolant,24.85,16.307,45.0,50.82,5.463,0.94,1.85,0.296,8.79,32.34,4.6887,4.792
CNC Milling,AISI 304 Stainless Steel,203.0,12.0,4,Uncoated Carbide,0.183,3.8,182.64,4844.6,0.0907,1.39,8.27,1757.2,Flood Coolant,17.45,20.265,191.0,602.9,2.795,0.431,1.85,2.171,6.795,20.12,3.7631,3.095
CNC Turning,Ti-6Al-4V Titanium,355.4,27.15,1,TiAlN,0.164,1.7,150.25,1761.7,0.2187,1.97,0.22,385.3,Dry,0.0,64.688,602.5,2828.96,1.096,0.212,0.5,8.477,10.895,10.11,5.2563,1.354
CNC Turning,Inconel 718 Superalloy,409.5,59.43,1,TiAlN,0.327,4.0,56.57,303.0,0.0718,1.36,0.07,21.7,MQL (Min Lubrication),0.25,5.536,320.1,1195.51,0.544,0.153,0.85,1.292,2.69,29.15,1.4767,4.446
CNC Milling,AISI 1045 Steel,198.9,32.0,6,TiCN,0.154,3.3,144.19,1434.3,0.1004,3.43,12.87,863.8,Dry,0.0,38.2,253.8,910.92,0.958,0.288,0.5,2.498,4.42,6.94,2.1787,0.951
CNC Milling,AISI 1045 Steel,196.6,16.0,4,TiCN,0.212,4.6,101.01,2009.6,0.0609,1.54,2.82,489.9,Dry,0.0,2.131,131.7,68.36,1.206,0.228,0.5,0.137,2.101,59.16,1.0898,8.525
CNC Milling,Al 6061-T6 Aluminum,88.8,12.0,3,Uncoated Carbide,0.136,2.2,359.96,9548.1,0.1065,3.74,7.06,3050.7,MQL (Min Lubrication),0.14,80.478,121.2,391.59,6.779,0.638,0.85,2.712,10.356,7.72,5.0742,1.051
CNC Turning,Ti-6Al-4V Titanium,337.2,101.79,1,TiAlN,0.127,-2.1,86.82,271.5,0.2156,3.15,0.22,58.5,Cryogenic (LN2),4.88,59.023,165.3,3250.18,0.534,0.159,1.35,5.46,7.393,7.52,4.2347,1.196
CNC Turning,AISI 1045 Steel,216.1,84.23,1,TiCN,0.081,7.5,182.03,687.9,0.2975,3.8,0.3,204.7,MQL (Min Lubrication),0.2,205.889,303.3,2778.94,0.674,0.183,0.85,9.81,11.933,3.48,5.8123,0.471
CNC Turning,AISI 304 Stainless Steel,201.0,53.48,1,TiAlN,0.054,8.6,119.77,712.9,0.2818,3.34,0.28,200.9,MQL (Min Lubrication),0.21,112.685,268.5,2515.6,0.683,0.182,0.85,5.959,7.412,3.95,3.6595,0.541
CNC Milling,AISI 1045 Steel,212.3,16.0,5,Uncoated Carbide,0.089,8.9,112.75,2243.0,0.044,4.31,3.51,493.1,Flood Coolant,29.9,7.46,73.3,171.6,1.314,0.229,1.85,0.384,3.933,31.63,2.3834,5.325
CNC Turning,AISI 1045 Steel,226.0,103.49,1,TiAlN,0.127,0.6,275.69,848.0,0.2457,0.92,0.25,208.3,MQL (Min Lubrication),0.07,62.463,279.3,784.88,0.732,0.183,0.85,4.133,5.678,5.45,2.8503,0.761
CNC Milling,AISI 304 Stainless Steel,196.3,32.0,4,TiAlN,0.124,-5.2,103.57,1030.2,0.1394,3.62,11.16,574.2,Flood Coolant,18.08,23.18,138.4,693.85,0.799,0.242,1.85,1.411,3.844,9.95,2.3485,1.689
CNC Milling,Al 6061-T6 Aluminum,101.8,10.0,3,Uncoated Carbide,0.092,-1.1,283.69,9030.1,0.1395,1.98,1.22,3779.9,Cryogenic (LN2),4.8,9.159,47.7,45.0,6.258,0.755,1.35,0.252,9.19,60.2,5.0812,9.247
CNC Turning,AISI 304 Stainless Steel,195.5,48.22,1,TiCN,0.067,5.1,86.85,573.3,0.2306,3.39,0.23,132.2,Dry,0.0,67.868,301.5,2695.82,0.634,0.171,0.5,4.601,6.203,5.48,3.0077,0.739
CNC Turning,Ti-6Al-4V Titanium,333.5,35.95,1,TiAlN,0.087,7.7,99.48,880.8,0.2701,2.12,0.27,237.9,MQL (Min Lubrication),0.12,56.919,331.9,2166.86,0.744,0.188,0.85,4.229,5.949,6.27,2.9709,0.87
CNC Turning,Al 6061-T6 Aluminum,99.9,20.18,1,AlCrN,0.062,0.9,214.72,3387.3,0.2428,2.79,0.24,822.4,Flood Coolant,31.29,145.707,101.7,742.1,1.902,0.282,1.85,3.09,7.465,3.07,4.0558,0.464
CNC Turning,AISI 304 Stainless Steel,192.2,100.53,1,AlCrN,0.107,1.0,217.51,688.7,0.1627,1.26,0.16,112.1,Flood Coolant,19.57,44.674,193.2,722.6,0.675,0.168,1.85,3.069,5.811,7.8,3.2793,1.223
CNC Turning,Al 6061-T6 Aluminum,96.8,65.24,1,TiCN,0.049,3.2,450.0,2195.6,0.3375,0.54,0.34,741.0,MQL (Min Lubrication),0.14,81.826,120.1,180.59,1.292,0.269,0.85,1.577,4.147,3.04,2.1076,0.429
CNC Turning,Al 6061-T6 Aluminum,106.9,26.48,1,TiAlN,0.064,-1.8,300.95,3617.1,0.2361,0.64,0.24,853.9,MQL (Min Lubrication),0.09,45.291,98.1,202.32,2.032,0.287,0.85,1.188,4.15,5.5,2.112,0.777
CNC Milling,AISI 1045 Steel,191.6,12.0,5,TiAlN,0.123,3.0,241.21,6398.3,0.1156,3.89,8.17,3699.3,MQL (Min Lubrication),0.24,117.53,261.2,1573.42,3.925,0.742,0.85,7.214,12.621,6.44,6.1476,0.872
CNC Milling,AISI 304 Stainless Steel,195.8,12.0,3,TiAlN,0.354,5.0,110.13,2921.2,0.1613,3.86,5.86,1413.2,Flood Coolant,23.75,31.962,312.3,1477.27,1.651,0.376,1.85,3.137,7.023,13.18,3.9115,2.04
CNC Turning,Inconel 718 Superalloy,381.5,79.54,1,TiAlN,0.246,1.0,73.5,294.1,0.2252,3.88,0.23,66.2,Flood Coolant,16.08,64.162,423.3,4800.0,0.542,0.161,1.85,6.801,9.425,8.81,5.0267,1.306
CNC Turning,Inconel 718 Superalloy,403.8,30.24,1,AlCrN,0.307,5.9,40.26,423.7,0.0677,2.77,0.07,28.7,Dry,0.0,7.559,400.2,2319.28,0.584,0.155,0.5,1.823,2.861,22.71,1.4734,3.249
CNC Milling,AISI 1045 Steel,212.7,8.0,3,Uncoated Carbide,0.248,2.0,218.78,8705.0,0.0684,3.56,5.23,1786.7,Dry,0.0,33.259,361.6,1101.36,5.941,0.436,0.5,4.636,11.162,20.14,5.402,2.707
CNC Milling,AISI 1045 Steel,215.1,25.0,5,TiCN,0.062,-2.9,146.76,1868.7,0.0994,4.21,16.23,928.6,Flood Coolant,27.97,63.498,123.7,1263.25,1.143,0.299,1.85,3.589,6.49,6.13,3.5931,0.943
CNC Milling,AISI 1045 Steel,199.6,10.0,4,TiCN,0.237,2.9,138.51,4409.0,0.1029,2.58,4.92,1815.4,MQL (Min Lubrication),0.16,22.988,232.5,652.6,2.511,0.44,0.85,1.794,5.587,14.58,2.8315,2.053
CNC Milling,AISI 304 Stainless Steel,188.1,12.0,4,AlCrN,0.122,-2.3,116.5,3090.3,0.0521,0.75,5.95,644.5,Flood Coolant,23.85,2.87,88.7,95.86,1.74,0.253,1.85,0.213,3.929,82.13,2.3884,13.869
CNC Turning,AISI 304 Stainless Steel,196.7,91.45,1,TiAlN,0.448,6.8,144.6,503.3,0.1632,1.73,0.16,82.1,MQL (Min Lubrication),0.12,40.828,625.0,2277.06,0.611,0.163,0.85,6.308,8.154,11.98,4.1023,1.675
CNC Milling,Ti-6Al-4V Titanium,349.4,16.0,3,TiCN,0.226,3.8,68.06,1354.1,0.0713,3.64,1.03,289.6,Flood Coolant,31.31,1.09,79.5,45.0,0.926,0.196,1.85,0.058,3.122,171.76,2.0279,30.995
CNC Turning,Al 6061-T6 Aluminum,101.7,85.27,1,AlCrN,0.025,3.1,325.99,1217.0,0.2722,3.19,0.27,331.3,Flood Coolant,29.55,283.143,99.6,797.75,0.871,0.203,1.85,4.872,7.773,1.65,4.1956,0.247
CNC Milling,AISI 304 Stainless Steel,208.9,16.0,4,Uncoated Carbide,0.351,5.9,105.94,2107.5,0.0451,2.47,11.23,379.9,Dry,0.0,10.539,356.6,1128.02,1.251,0.211,0.5,2.254,4.318,24.58,2.1757,3.441
CNC Milling,Al 6061-T6 Aluminum,89.3,10.0,4,Uncoated Carbide,0.014,-3.0,291.45,9277.1,0.1731,2.54,4.61,6424.4,MQL (Min Lubrication),0.2,75.091,91.7,267.96,6.504,1.178,0.85,1.504,10.142,8.1,4.9491,1.098
CNC Milling,AISI 1045 Steel,207.4,20.0,4,TiAlN,0.049,-0.2,238.04,3788.6,0.1024,1.31,15.04,1552.4,MQL (Min Lubrication),0.19,30.494,135.8,384.35,2.132,0.398,0.85,1.736,5.23,10.29,2.622,1.433
CNC Turning,AISI 1045 Steel,213.9,23.08,1,TiAlN,0.09,-1.2,119.95,1654.1,0.2884,1.23,0.29,477.1,Flood Coolant,16.83,42.654,152.6,1012.56,1.05,0.226,1.85,2.294,5.219,7.34,2.9946,1.17
CNC Turning,AISI 304 Stainless Steel,206.2,74.77,1,Uncoated Carbide,0.343,-0.5,220.92,940.5,0.355,3.08,0.36,333.9,Flood Coolant,30.96,241.728,654.9,4800.0,0.766,0.203,1.85,21.209,25.183,6.25,12.5349,0.864
CNC Turning,AISI 1045 Steel,193.0,83.34,1,Uncoated Carbide,0.089,3.8,80.25,306.5,0.3883,2.09,0.39,119.0,Flood Coolant,15.61,65.125,166.8,2186.49,0.546,0.169,1.85,3.394,5.82,5.36,3.2799,0.839
CNC Milling,AISI 304 Stainless Steel,200.4,16.0,3,Uncoated Carbide,0.042,-4.8,185.55,3691.4,0.0613,3.7,10.09,679.1,MQL (Min Lubrication),0.07,25.374,164.8,611.8,2.075,0.259,0.85,2.209,5.274,12.47,2.6415,1.735
CNC Milling,Al 6061-T6 Aluminum,97.5,10.0,3,TiCN,0.078,9.0,243.68,7756.4,0.1632,2.63,5.99,3798.0,MQL (Min Lubrication),0.17,59.804,90.8,255.07,5.063,0.758,0.85,1.19,8.031,8.06,3.9578,1.103
CNC Milling,AISI 1045 Steel,222.3,10.0,4,TiAlN,0.028,0.4,126.78,4035.5,0.0688,0.54,6.99,1109.8,Flood Coolant,33.98,4.169,63.1,97.97,2.279,0.328,1.85,0.236,4.938,71.07,2.8499,11.392
CNC Milling,Al 6061-T6 Aluminum,108.8,25.0,5,AlCrN,0.06,-5.0,453.56,5775.0,0.045,4.19,20.76,1298.6,Flood Coolant,20.63,112.886,66.7,467.86,3.45,0.358,1.85,3.975,9.648,5.13,5.0926,0.752
CNC Turning,AISI 304 Stainless Steel,190.7,84.07,1,TiAlN,0.108,-3.7,77.99,295.3,0.1676,3.76,0.17,49.5,Flood Coolant,25.0,49.203,183.8,2536.56,0.542,0.158,1.85,3.837,6.832,8.33,3.7646,1.275
CNC Turning,AISI 1045 Steel,211.8,87.84,1,TiCN,0.154,-4.1,159.26,577.1,0.2449,3.18,0.24,141.3,Dry,0.0,123.871,440.0,3406.15,0.636,0.173,0.5,10.839,11.909,5.77,5.7359,0.772
CNC Turning,Ti-6Al-4V Titanium,348.3,104.89,1,TiAlN,0.243,9.1,138.69,420.9,0.168,1.25,0.17,70.7,Dry,0.0,29.021,572.7,1577.68,0.583,0.161,0.5,4.331,5.55,11.48,2.7354,1.571
CNC Milling,Al 6061-T6 Aluminum,107.6,12.0,4,TiCN,0.128,0.0,345.53,9165.4,0.1936,0.81,6.1,7097.2,Flood Coolant,27.79,35.26,92.2,127.45,6.392,1.286,1.85,0.86,9.541,16.24,5.0554,2.39
CNC Milling,AISI 304 Stainless Steel,213.2,16.0,5,TiAlN,0.45,-1.3,154.42,3072.1,0.1425,2.37,9.27,2189.0,Dry,0.0,48.111,830.8,2890.27,1.73,0.5,0.5,8.599,11.621,14.49,5.6696,1.964
CNC Milling,Ti-6Al-4V Titanium,328.0,16.0,4,Uncoated Carbide,0.038,-0.7,67.48,1342.4,0.2036,1.23,8.92,1093.1,Flood Coolant,17.92,12.014,135.4,622.42,0.921,0.325,1.85,0.807,4.131,20.63,2.4683,3.424
CNC Milling,Inconel 718 Superalloy,398.4,8.0,2,AlCrN,0.094,3.0,90.31,3593.5,0.0884,2.55,0.68,635.5,Flood Coolant,18.91,1.101,82.5,45.0,2.019,0.252,1.85,0.08,4.061,221.2,2.4452,37.002
CNC Turning,Al 6061-T6 Aluminum,95.7,91.55,1,AlCrN,0.083,8.7,304.44,1058.5,0.1802,2.57,0.18,190.7,Flood Coolant,33.8,140.717,100.4,512.94,0.81,0.181,1.85,3.123,5.966,2.54,3.3482,0.397
CNC Turning,AISI 1045 Steel,215.4,104.25,1,TiAlN,0.066,4.6,208.64,637.0,0.318,1.98,0.32,202.6,Flood Coolant,25.14,131.394,190.9,1497.57,0.657,0.182,1.85,6.105,8.823,4.03,4.7021,0.596
CNC Milling,Al 6061-T6 Aluminum,96.2,25.0,5,AlCrN,0.036,-1.5,399.13,5081.8,0.1894,4.49,10.24,4813.0,MQL (Min Lubrication),0.17,221.216,114.1,468.52,2.956,0.92,0.85,3.58,8.148,2.21,4.0055,0.302
CNC Milling,AISI 304 Stainless Steel,203.3,10.0,4,TiAlN,0.08,3.8,216.15,6880.4,0.1687,3.79,2.44,4642.5,Flood Coolant,25.25,42.945,160.8,405.36,4.313,0.893,1.85,1.745,8.521,11.91,4.5613,1.77
CNC Turning,Al 6061-T6 Aluminum,102.7,38.4,1,TiAlN,0.018,3.4,175.42,1454.0,0.3352,2.72,0.34,487.4,Flood Coolant,30.19,160.224,70.2,837.97,0.967,0.228,1.85,2.941,6.077,2.28,3.389,0.353
CNC Turning,AISI 304 Stainless Steel,203.7,79.37,1,TiCN,0.285,9.9,91.75,368.0,0.1595,0.54,0.16,58.7,MQL (Min Lubrication),0.06,7.944,236.6,478.01,0.566,0.159,0.85,0.855,2.251,17.0,1.2583,2.64
CNC Turning,AISI 1045 Steel,204.4,103.79,1,TiAlN,0.005,1.8,227.78,698.6,0.3212,3.12,0.32,224.4,Cryogenic (LN2),5.22,228.237,94.1,1897.0,0.678,0.186,1.35,8.527,10.396,2.73,5.6387,0.412
CNC Milling,Ti-6Al-4V Titanium,331.6,8.0,2,TiAlN,0.215,-3.1,95.48,3798.9,0.1034,1.24,5.18,785.6,Flood Coolant,15.45,5.043,170.6,337.68,2.138,0.276,1.85,0.633,4.645,55.26,2.7488,9.085
CNC Milling,AISI 304 Stainless Steel,206.1,8.0,3,TiAlN,0.11,-4.7,171.13,6808.9,0.1229,2.04,0.78,2510.2,Dry,0.0,3.983,141.9,54.5,4.254,0.552,0.5,0.176,5.506,82.95,2.6852,11.236
CNC Turning,AISI 304 Stainless Steel,203.9,54.38,1,TiAlN,0.208,4.7,216.75,1268.7,0.3079,0.6,0.31,390.7,MQL (Min Lubrication),0.08,40.01,404.3,811.79,0.892,0.213,0.85,3.453,5.402,8.1,2.7371,1.14
CNC Turning,Al 6061-T6 Aluminum,111.2,90.34,1,Uncoated Carbide,0.242,2.7,256.63,904.2,0.3592,0.55,0.36,324.8,Cryogenic (LN2),4.71,51.127,82.6,399.68,0.752,0.202,1.35,1.926,4.134,4.85,2.7122,0.884
CNC Milling,Al 6061-T6 Aluminum,93.6,16.0,4,Uncoated Carbide,0.152,0.9,214.05,4258.3,0.1115,2.76,11.1,1899.4,Dry,0.0,58.134,140.8,634.84,2.417,0.454,0.5,2.627,6.11,6.31,2.9809,0.855
CNC Turning,AISI 304 Stainless Steel,199.3,34.64,1,AlCrN,0.047,-3.8,154.57,1420.2,0.0913,2.48,0.09,129.6,Dry,0.0,34.988,239.4,1001.5,0.953,0.171,0.5,3.088,4.714,8.08,2.2964,1.094
CNC Turning,AISI 304 Stainless Steel,210.6,68.32,1,TiAlN,0.196,1.4,105.3,490.6,0.3351,1.92,0.34,164.4,MQL (Min Lubrication),0.25,67.673,402.0,2864.15,0.606,0.176,0.85,5.89,7.506,6.65,3.7336,0.92
CNC Milling,AISI 304 Stainless Steel,196.0,8.0,3,Uncoated Carbide,0.45,-1.5,202.27,8048.0,0.121,1.17,4.45,2920.2,Flood Coolant,18.48,15.245,364.0,654.79,5.326,0.617,1.85,2.605,10.086,39.7,5.3905,5.893
CNC Milling,AISI 304 Stainless Steel,191.1,16.0,5,TiCN,0.276,3.3,111.52,2218.7,0.1371,3.36,6.92,1521.2,Cryogenic (LN2),4.81,35.324,162.6,1278.58,1.303,0.393,1.35,2.784,5.907,10.03,3.5626,1.681
CNC Milling,Inconel 718 Superalloy,373.0,32.0,4,TiAlN,0.365,2.9,73.51,731.3,0.106,4.32,6.68,310.0,Flood Coolant,25.13,8.953,286.0,742.84,0.69,0.2,1.85,1.062,3.727,24.98,2.3489,4.373
CNC Milling,Ti-6Al-4V Titanium,342.5,8.0,3,Uncoated Carbide,0.092,-4.8,117.11,4659.7,0.0411,1.2,4.7,574.3,MQL (Min Lubrication),0.24,3.232,135.9,186.58,2.673,0.242,0.85,0.43,4.672,86.74,2.3654,12.198
CNC Turning,AISI 1045 Steel,198.0,44.34,1,AlCrN,0.072,-4.2,251.42,1804.8,0.0888,2.02,0.09,160.2,Dry,0.0,45.05,213.7,730.93,1.115,0.176,0.5,3.484,5.461,7.27,2.6563,0.983
CNC Milling,AISI 304 Stainless Steel,196.0,20.0,5,AlCrN,0.157,2.5,161.01,2562.6,0.0959,1.09,12.42,1228.1,Flood Coolant,19.07,16.66,160.1,399.67,1.468,0.347,1.85,1.29,5.178,18.65,2.9895,2.991
CNC Turning,Ti-6Al-4V Titanium,352.7,27.25,1,Uncoated Carbide,0.215,-2.5,145.51,1699.5,0.1226,1.24,0.12,208.4,Cryogenic (LN2),5.38,22.061,171.4,1244.41,1.07,0.183,1.35,3.458,6.306,17.15,3.738,2.824
CNC Turning,Ti-6Al-4V Titanium,352.7,71.21,1,AlCrN,0.044,-2.4,99.52,444.9,0.0804,1.36,0.08,35.8,Flood Coolant,34.85,10.882,133.5,497.47,0.591,0.156,1.85,0.941,3.389,18.68,2.1165,3.242
CNC Milling,Ti-6Al-4V Titanium,335.0,12.0,4,AlCrN,0.342,7.1,67.62,1793.6,0.0466,1.09,4.78,334.7,Dry,0.0,1.738,233.2,210.25,1.11,0.204,0.5,0.273,2.137,73.77,1.1376,10.909
CNC Milling,AISI 1045 Steel,203.6,8.0,4,TiCN,0.076,-1.9,224.92,8949.1,0.1801,2.39,6.83,6446.5,MQL (Min Lubrication),0.16,104.977,242.7,1364.86,6.178,1.181,0.85,6.024,13.905,7.95,6.7479,1.071
CNC Turning,AISI 1045 Steel,203.2,48.5,1,TiAlN,0.095,4.8,242.99,1594.6,0.241,3.94,0.24,384.3,Dry,0.0,230.954,432.6,3129.18,1.025,0.211,0.5,15.159,17.451,4.53,8.3557,0.603
